Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Kentavious Caldwell-Pope,LAL,LAL @ IND,05/15/2021,W,30,13,5,8,62.5,3,6,50.0,0,0,-,0,0,0,2,2,0,0,3,15
Devonte' Graham,CHA,CHA @ NYK,05/15/2021,L,41,25,6,15,40.0,5,12,41.7,8,8,100,2,1,3,8,0,0,1,0,9
Denzel Valentine,CHI,CHI @ BKN,05/15/2021,L,16,0,0,7,0.0,0,3,0.0,0,0,-,0,2,2,2,0,0,0,0,-12
Timothe Luwawu-Cabarrot,BKN,BKN vs. CHI,05/15/2021,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Tremont Waters,BOS,BOS @ MIN,05/15/2021,W,22,14,4,8,50.0,3,3,100,3,3,100,0,0,0,7,0,0,3,1,7
JaKarr Sampson,IND,IND vs. LAL,05/15/2021,L,20,20,9,13,69.2,0,1,0.0,2,2,100,1,2,3,1,0,0,0,2,-8
Langston Galloway,PHX,PHX @ SAS,05/15/2021,W,15,10,3,8,37.5,1,3,33.3,3,3,100,1,1,2,1,0,0,0,2,8
Frank Ntilikina,NYK,NYK vs. CHA,05/15/2021,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Devon Dotson,CHI,CHI @ BKN,05/15/2021,L,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,6
Javonte Green,CHI,CHI @ BKN,05/15/2021,L,17,4,0,2,0.0,0,1,0.0,4,4,100,3,1,4,1,0,1,0,2,-2
Tre Jones,SAS,SAS vs. PHX,05/15/2021,L,29,9,3,6,50.0,0,0,-,3,4,75.0,0,2,2,5,0,0,1,1,-15
